Product ID,TCGplayer Id,Product Line,Set Name,Product Name,Title,Number,Rarity,Condition,Printing,TCG Market Price,TCG Direct Low,TCG Low Price With Shipping,TCG Low Price,Total Quantity,Add to Quantity,TCG Marketplace Price,Photo URL
83296,1188710,Magic: The Gathering,Conspiracy,Reflecting Pool,,210,Rare,Near Mint,Normal,15.32,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/83296_in_200x200.jpg
121761,3194487,Magic: The Gathering,Conspiracy: Take the Crown,Berserk,,175,Mythic,Near Mint,Normal,15.86,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/121761_in_200x200.jpg
121620,3193541,Magic: The Gathering,Conspiracy: Take the Crown,Burgeoning,,178,Rare,Near Mint,Normal,34.54,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/121620_in_200x200.jpg
192562,4095884,Magic: The Gathering,Core Set 2020,Field of the Dead,,247,Rare,Near Mint,Normal,32.46,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/192562_in_200x200.jpg
11640,23715,Magic: The Gathering,Darksteel,Mycosynth Lattice,,130,Rare,Near Mint,Normal,42.22,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/11640_in_200x200.jpg
162125,3613519,Magic: The Gathering,Dominaria,Mox Amber,,224,Mythic,Near Mint,Normal,74.53,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/162125_in_200x200.jpg
457191,6795216,Magic: The Gathering,Dominaria Remastered,Exploration,,159,Rare,Near Mint,Normal,33.40,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/457191_in_200x200.jpg
218698,4507493,Magic: The Gathering,Double Masters,Force of Will,,51,Mythic,Near Mint,Normal,74.01,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/218698_in_200x200.jpg
277161,5710000,Magic: The Gathering,Double Masters 2022,Smothering Tithe,,31,Rare,Lightly Played,Normal,59.23,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/277161_in_200x200.jpg
119260,3149726,Magic: The Gathering,Eldritch Moon,"Emrakul, the Promised End",,6,Mythic,Near Mint,Normal,17.68,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/119260_in_200x200.jpg
118415,3144472,Magic: The Gathering,Eternal Masters,Gamble,,132,Rare,Near Mint,Normal,16.42,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/118415_in_200x200.jpg
118603,3145762,Magic: The Gathering,Eternal Masters,Winter Orb,,234,Rare,Near Mint,Normal,16.10,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/118603_in_200x200.jpg
4332,18229,Magic: The Gathering,Exodus,Hatred,,64,Rare,Near Mint,Normal,60.35,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/4332_in_200x200.jpg
2290,16402,Magic: The Gathering,Fifth Edition,Necropotence,,,Rare,Near Mint,Normal,34.92,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/2290_in_200x200.jpg
14843,26324,Magic: The Gathering,Future Sight,Akroma's Memorial,,159,Rare,Near Mint,Normal,34.68,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/14843_in_200x200.jpg
67378,1067147,Magic: The Gathering,Gatecrash,Crypt Ghast,,61,Rare,Near Mint,Normal,13.97,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/67378_in_200x200.jpg
56324,505951,Magic: The Gathering,Innistrad,Parallel Lives,,199,Rare,Near Mint,Normal,36.70,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/56324_in_200x200.jpg
82233,1182854,Magic: The Gathering,Journey Into Nyx,"Athreos, God of Passage",,146,Mythic,Near Mint,Normal,15.57,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/82233_in_200x200.jpg
82224,1182762,Magic: The Gathering,Journey Into Nyx,Mana Confluence,,163,Rare,Near Mint,Normal,34.42,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/82224_in_200x200.jpg
262050,5375529,Magic: The Gathering,Kamigawa: Neon Dynasty,"Boseiju, Who Endures",,266,Rare,Near Mint,Normal,53.58,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/262050_in_200x200.jpg
92831,1253982,Magic: The Gathering,Khans of Tarkir,Wooded Foothills,,249,Rare,Near Mint,Normal,18.41,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/92831_in_200x200.jpg
